date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:46:27	64055/64055	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:26%20GMT	https://www.tgv4plus.com/	/home/serveroptima/website_temp/www.tgv4plus.com/index.html	(from )
04:46:27	132/132	---M-Z	200	added ('OK')	text/plain	etag:W/%2263b72d5f049e1604bf89e71c0f855389-gzip%22	https://www.tgv4plus.com/robots.txt		(from )
04:46:27	7845/7845	---M--	200	added ('OK')	image/png	etag:%226a1248595937e17bc6aecc4fb565486c%22	https://www.tgv4plus.com/uploads/1/5/3/7/153740447/true-global-ventures-logo-white_orig.png	/home/serveroptima/website_temp/www.tgv4plus.com/uploads/1/5/3/7/153740447/true-global-ventures-logo-white_orig.png	(from https://www.tgv4plus.com/)
04:46:29	3308/3308	---M--	200	added ('OK')	image/png	etag:%22aba2ed586ee0cc2fbdbf1d6ec8df1b38%22	https://www.tgv4plus.com/uploads/1/5/3/7/153740447/tgv-logo.png	/home/serveroptima/website_temp/www.tgv4plus.com/uploads/1/5/3/7/153740447/tgv-logo.png	(from https://www.tgv4plus.com/)
04:46:31	45525/45525	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Oct%202025%2008:46:30%20GMT	https://www.tgv4plus.com/files/main_style.css?1758726276	/home/serveroptima/website_temp/www.tgv4plus.com/files/main_stylea677.css	(from https://www.tgv4plus.com/)
04:46:31	118059/118059	---M--	200	added ('OK')	image/jpeg	etag:%229eb694031651f025e71052a64aa3718c%22	https://www.tgv4plus.com/uploads/1/5/3/7/153740447/whatsapp-image-2025-09-04-at-04-34-04_orig.jpeg	/home/serveroptima/website_temp/www.tgv4plus.com/uploads/1/5/3/7/153740447/whatsapp-image-2025-09-04-at-04-34-04_orig.jpg	(from https://www.tgv4plus.com/)
04:46:32	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2007%20Oct%202025%2008:46:31%20GMT	https://www.tgv4plus.com/files/templateArtifacts.js?1758726276	/home/serveroptima/website_temp/www.tgv4plus.com/files/templateArtifactsa677.js	(from https://www.tgv4plus.com/)
04:46:34	67891/67891	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:32%20GMT	https://www.tgv4plus.com/portfolio.html	/home/serveroptima/website_temp/www.tgv4plus.com/portfolio.html	(from https://www.tgv4plus.com/)
04:46:35	55314/55314	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:34%20GMT	https://www.tgv4plus.com/tgv-global-competitions.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-global-competitions.html	(from https://www.tgv4plus.com/)
04:46:35	230068/230068	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:33%20GMT	https://www.tgv4plus.com/team.html	/home/serveroptima/website_temp/www.tgv4plus.com/team.html	(from https://www.tgv4plus.com/)
04:46:36	1660207/1660207	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:35%20GMT	https://www.tgv4plus.com/ai-investor-judges.html	/home/serveroptima/website_temp/www.tgv4plus.com/ai-investor-judges.html	(from https://www.tgv4plus.com/)
04:46:37	80784/80784	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:36%20GMT	https://www.tgv4plus.com/tgv-global-competition-2024.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-global-competition-2024.html	(from https://www.tgv4plus.com/)
04:46:38	60413/60413	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:37%20GMT	https://www.tgv4plus.com/tgv-global-competition-2024-blockchain-sustainability.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-global-competition-2024-blockchain-sustainability.html	(from https://www.tgv4plus.com/)
04:46:39	2010943/2010943	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:38%20GMT	https://www.tgv4plus.com/tgv-global-competition-2018.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-global-competition-2018.html	(from https://www.tgv4plus.com/)
04:46:40	57052/57052	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:39%20GMT	https://www.tgv4plus.com/our-events.html	/home/serveroptima/website_temp/www.tgv4plus.com/our-events.html	(from https://www.tgv4plus.com/)
04:46:41	138303/138303	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:40%20GMT	https://www.tgv4plus.com/past-events.html	/home/serveroptima/website_temp/www.tgv4plus.com/past-events.html	(from https://www.tgv4plus.com/)
04:46:44	54973/54973	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:41%20GMT	https://www.tgv4plus.com/upcoming-events.html	/home/serveroptima/website_temp/www.tgv4plus.com/upcoming-events.html	(from https://www.tgv4plus.com/)
04:46:44	55291/55291	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:42%20GMT	https://www.tgv4plus.com/media--press.html	/home/serveroptima/website_temp/www.tgv4plus.com/media--press.html	(from https://www.tgv4plus.com/)
04:46:44	69663/69663	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:43%20GMT	https://www.tgv4plus.com/media-coverage.html	/home/serveroptima/website_temp/www.tgv4plus.com/media-coverage.html	(from https://www.tgv4plus.com/)
04:46:46	59372/59372	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:45%20GMT	https://www.tgv4plus.com/tgv-granted-cms-license-by-mas.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-granted-cms-license-by-mas.html	(from https://www.tgv4plus.com/)
04:46:48	61465/61465	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:47%20GMT	https://www.tgv4plus.com/tgv-invests-in-bookitngo.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-invests-in-bookitngo.html	(from https://www.tgv4plus.com/)
04:46:48	125044/125044	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:44%20GMT	https://www.tgv4plus.com/tgv-press-releases.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-press-releases.html	(from https://www.tgv4plus.com/)
04:46:48	59454/59454	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:46%20GMT	https://www.tgv4plus.com/tgv-invests-in-busup.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-invests-in-busup.html	(from https://www.tgv4plus.com/)
04:46:49	59596/59596	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:48%20GMT	https://www.tgv4plus.com/tgv-invests-in-silicon-valley-based-covu.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-invests-in-silicon-valley-based-covu.html	(from https://www.tgv4plus.com/)
04:46:50	60786/60786	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:49%20GMT	https://www.tgv4plus.com/tgv-invests-in-prezentai.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-invests-in-prezentai.html	(from https://www.tgv4plus.com/)
04:46:51	59699/59699	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:50%20GMT	https://www.tgv4plus.com/validation-cloud-secures-10m-lead-to-scale-ai-for-web3-from-true-global-ventures.html	/home/serveroptima/website_temp/www.tgv4plus.com/validation-cloud-secures-10m-lead-to-scale-ai-for-web3-from-true-global-ventures.html	(from https://www.tgv4plus.com/)
04:46:52	61196/61196	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:51%20GMT	https://www.tgv4plus.com/obligo-raises-35m-to-expand-its-security-deposit-solutions-across-millions-of-us-homes.html	/home/serveroptima/website_temp/www.tgv4plus.com/obligo-raises-35m-to-expand-its-security-deposit-solutions-across-millions-of-us-homes.html	(from https://www.tgv4plus.com/)
04:46:53	59780/59780	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:52%20GMT	https://www.tgv4plus.com/tookitaki-ai-compliance-solution-drives-expansion-across-key-asian-markets-with-funding-from-true-global-ventures.html	/home/serveroptima/website_temp/www.tgv4plus.com/tookitaki-ai-compliance-solution-drives-expansion-across-key-asian-markets-with-funding-from-true-global-ventures.html	(from https://www.tgv4plus.com/)
04:46:55	60004/60004	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:53%20GMT	https://www.tgv4plus.com/tgv-invests-in-printler.html	/home/serveroptima/website_temp/www.tgv4plus.com/tgv-invests-in-printler.html	(from https://www.tgv4plus.com/)
04:46:56	60278/60278	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:54%20GMT	https://www.tgv4plus.com/true-global-ventures-opportunity-fund-invests-in-jus-mundi.html	/home/serveroptima/website_temp/www.tgv4plus.com/true-global-ventures-opportunity-fund-invests-in-jus-mundi.html	(from https://www.tgv4plus.com/)
04:46:56	59695/59695	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:55%20GMT	https://www.tgv4plus.com/bookit-n-go-a-travel-technology-company-announces-the-successful-closure.html	/home/serveroptima/website_temp/www.tgv4plus.com/bookit-n-go-a-travel-technology-company-announces-the-successful-closure.html	(from https://www.tgv4plus.com/)
04:46:58	63441/63441	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:56%20GMT	https://www.tgv4plus.com/animoca-brands-update-on-financial-position.html	/home/serveroptima/website_temp/www.tgv4plus.com/animoca-brands-update-on-financial-position.html	(from https://www.tgv4plus.com/)
04:46:59	59185/59185	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:57%20GMT	https://www.tgv4plus.com/animoca-brands-joins-chromia-as-a-network-provider.html	/home/serveroptima/website_temp/www.tgv4plus.com/animoca-brands-joins-chromia-as-a-network-provider.html	(from https://www.tgv4plus.com/)
04:46:59	59560/59560	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:58%20GMT	https://www.tgv4plus.com/appointment-of-beatrice-lion-as-ceo.html	/home/serveroptima/website_temp/www.tgv4plus.com/appointment-of-beatrice-lion-as-ceo.html	(from https://www.tgv4plus.com/)
04:47:02	72089/72089	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:46:59%20GMT	https://www.tgv4plus.com/insights-on-megatrends.html	/home/serveroptima/website_temp/www.tgv4plus.com/insights-on-megatrends.html	(from https://www.tgv4plus.com/)
04:47:02	64140/64140	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2008:47:00%20GMT	https://www.tgv4plus.com/aya-platform-of-enjinstarter-granted-virtual-asset-service-provider-licence-by-dubairsquos-virtual-assets-regulatory-authority.html	/home/serveroptima/website_temp/www.tgv4plus.com/aya-platform-of-enjinstarter-granted-virtual-asset-service-provider-licence-by-dubairsquos-virtual-assets-regulatory-authority.html	(from https://www.tgv4plus.com/)
